rep,size,mode,frac,dist,depth,spawned,bvh_MB,leaf_MB,coverage,render_ms,total_ms,fwd_rate
1,6000,leafhybrid,0.25,far,5,57,786,49.85,1.000,4006,15304,6.0690
1,6000,leafhybrid,0.50,far,5,57,786,99.70,1.000,4003,15417,6.0657
1,6000,leafhybrid,1.00,far,5,57,786,199.40,1.000,4055,15554,6.0640
2,3000,naive,NA,near,5,64,393,0.00,NA,1361,5756,2.1274
2,3000,replicate,NA,near,5,64,393,0.00,NA,1224,9367,2.1270
2,3000,hybrid,NA,near,5,64,393,0.00,NA,1361,5914,2.1274
2,3000,leafhybrid,0.02,near,5,64,393,1.99,0.470,2674,9152,5.2544
2,3000,leafhybrid,0.05,near,5,64,393,4.99,0.682,2681,9168,5.2555
2,3000,leafhybrid,0.10,near,5,64,393,9.97,0.850,2685,9178,5.2574
2,3000,leafhybrid,0.25,near,5,64,393,24.93,0.988,2675,9222,5.2537
2,3000,leafhybrid,0.50,near,5,64,393,49.85,1.000,2674,9239,5.2542
2,3000,leafhybrid,1.00,near,5,64,393,99.70,1.000,2619,9220,5.2553
2,3000,naive,NA,far,5,57,393,0.00,NA,1736,6148,2.1265
2,3000,replicate,NA,far,5,57,393,0.00,NA,1573,9745,2.1269
2,3000,hybrid,NA,far,5,57,393,0.00,NA,1737,6342,2.1270
2,3000,leafhybrid,0.02,far,5,57,393,1.99,0.470,3374,9916,5.2528
2,3000,leafhybrid,0.05,far,5,57,393,4.99,0.682,3455,10009,5.2541
2,3000,leafhybrid,0.10,far,5,57,393,9.97,0.850,3491,10080,5.2555
2,3000,leafhybrid,0.25,far,5,57,393,24.93,0.988,3466,10145,5.2557
2,3000,leafhybrid,0.50,far,5,57,393,49.85,1.000,3401,10029,5.2537
2,3000,leafhybrid,1.00,far,5,57,393,99.70,1.000,3381,10060,5.2509
2,6000,naive,NA,near,5,64,786,0.00,NA,1622,10633,2.5327
2,6000,replicate,NA,near,5,64,786,0.00,NA,1411,18522,2.5324
2,6000,hybrid,NA,near,5,64,786,0.00,NA,1576,10913,2.5322
2,6000,leafhybrid,0.02,near,5,64,786,3.99,0.635,3153,14319,6.0662
2,6000,leafhybrid,0.05,near,5,64,786,9.97,0.862,3124,14319,6.0679
2,6000,leafhybrid,0.10,near,5,64,786,19.94,0.972,3129,14351,6.0660
2,6000,leafhybrid,0.25,near,5,64,786,49.85,1.000,3113,14375,6.0667
2,6000,leafhybrid,0.50,near,5,64,786,99.70,1.000,3104,14476,6.0672
2,6000,leafhybrid,1.00,near,5,64,786,199.40,1.000,3092,14529,6.0664
2,6000,naive,NA,far,5,57,786,0.00,NA,2040,11078,2.5328
2,6000,replicate,NA,far,5,57,786,0.00,NA,1826,18984,2.5338
2,6000,hybrid,NA,far,5,57,786,0.00,NA,2029,11421,2.5324
2,6000,leafhybrid,0.02,far,5,57,786,3.99,0.635,3974,15181,6.0661
2,6000,leafhybrid,0.05,far,5,57,786,9.97,0.862,4040,15268,6.0670
2,6000,leafhybrid,0.10,far,5,57,786,19.94,0.972,4034,15272,6.0669
2,6000,leafhybrid,0.25,far,5,57,786,49.85,1.000,4006,15322,6.0672
2,6000,leafhybrid,0.50,far,5,57,786,99.70,1.000,4077,15525,6.0678
2,6000,leafhybrid,1.00,far,5,57,786,199.40,1.000,3962,15454,6.0659
3,3000,naive,NA,near,5,64,393,0.00,NA,1381,5780,2.1270
3,3000,replicate,NA,near,5,64,393,0.00,NA,1237,9381,2.1265
3,3000,hybrid,NA,near,5,64,393,0.00,NA,1372,5935,2.1267
3,3000,leafhybrid,0.02,near,5,64,393,1.99,0.470,2653,9146,5.2553
3,3000,leafhybrid,0.05,near,5,64,393,4.99,0.682,2692,9189,5.2553
3,3000,leafhybrid,0.10,near,5,64,393,9.97,0.850,2751,9261,5.2544
3,3000,leafhybrid,0.25,near,5,64,393,24.93,0.988,2694,9258,5.2542
3,3000,leafhybrid,0.50,near,5,64,393,49.85,1.000,2691,9263,5.2544
3,3000,leafhybrid,1.00,near,5,64,393,99.70,1.000,2618,9229,5.2553
3,3000,naive,NA,far,5,57,393,0.00,NA,1780,6198,2.1273
3,3000,replicate,NA,far,5,57,393,0.00,NA,1566,9769,2.1262
3,3000,hybrid,NA,far,5,57,393,0.00,NA,1738,6334,2.1278
3,3000,leafhybrid,0.02,far,5,57,393,1.99,0.470,3395,9924,5.2552
